ID|WHOG|WPER|REGION|N_MIEMBRO|BHCV01|BHCV02|BHCV03|BHCV04|BHCV05|BHCV06|BHCV07|BHCV08|BHCV09|BHCV10|BHCV11|BHHO01|BHHO02|BHHO03|EDAD_SEL|GRUPO_EDAD_SEL|BHCH04_SEL|SEXO_SEL|BHCH06_SEL|BHCH07_SEL|BHCH08_SEL|BHCH09_SEL|BHCH10_01_SEL|BHCH10_02_SEL|BHCH10_99_SEL|BHCH11_SEL|BHCH12_SEL|BHCH13_SEL|NIVEL_EDUCATIVO_SEL|NIVEL_EDUCATIVO_AGRUPADO|BHCH14_01_SEL|BHCH14_02_SEL|BHCH14_03_SEL|BHCH14_04_SEL|BHCH14_05_SEL|BHCH14_06_SEL|BHCH14_07_SEL|BHCH14_99_SEL|BHCH15_SEL|CANT_MIEMBROS_HOGAR|CANT_PERSONASHASTA13|CANT_PERSONAS14A64|CANT_PERSONAS65YMAS|CANT_DEMANDANTES_TOTAL|CANT_NODEMANDANTES_TOTAL|CANT_DEMANDANTES_14A64|CANT_DEMANDANTES_65YMAS|CANT_AYUDA_TOTAL|BHDC_SEL|BHDC01_01_SEL|BHDC01_02_SEL|BHDC01_03_SEL|BHDC01_04_SEL|BHDC01_05_SEL|BHDC01_06_SEL|BHDC01_07_SEL|BHDC01_08_SEL|BHDC02_01_SEL|BHDC02_02_SEL|BHDC02_03_SEL|BHDC02_04_SEL|BHDC02_05_SEL|BHDC02_06_SEL|TIPO_HOGAR_DCTOTAL|TIPO_HOGAR_DCHASTA13|TIPO_HOGAR_DC14YMAS|TIPO_HOGAR_DCAMBOS|TIPO_HOGAR_DCPOREDAD|HOGARES_AYUDAEXTERNA|CUIDADO_ESTADO|CUIDADO_MERCADO|CUIDADO_FAMILIA|CUIDADO_FAMILIA_EXTERNA|CUIDADO_HOGAR|CUIDADO_SOLO_HOGAR|CUIDADO_COMUNIDAD|BHSL01_SEL|BHSL02_SEL|BHSL03_SEL|BHSL04_SEL|BHSL05_SEL|BHSL06_SEL|BHSL07_SEL|BHSL08_SEL|BHSL09_SEL|BHSL10_SEL|BHSL11_SEL|BHSL12_SEL|CONDICION_ACTIVIDAD|CONDICION_ACTIVIDAD_AGRUPADA|BHTV01_SEL|TRABAJO_VOLUNTARIO_HOGAR|BHAH01|BHAH02_01|BHAH02_02|BHAH02_03|BHAH03|BHAH04_01|BHAH04_02|BHAH04_03|BHAH04_04|BHAH04_05|BHAH04_06|BHAH04_07|MAYORES_GERIATRICO|MAYORES_OTROHOGAR|MAYORESACARGO_TOTAL|MAYORES_CUIDADO_PAGO|BHTD01_01|BHTD01_02|BHTD01_03|BHTD01_04|BHTD01_05|T_DOMESTICO_OTROFAMILIAR|T_DOMESTICO_SINPAGO|T_DOMESTICO_PAGO|T_DOMESTICO_MIEMBROS|J_NIVEL_EDUCATIVO_AGRUPADO|J_CONDICION_ACTIVIDAD_AGRUPADA|J_CONDICION_ACTIVIDAD|J_NIVEL_EDUCATIVO|CLIMA_EDUCATIVO|TIPO_HOGAR_NUCLEAR|DIAS_SEMANA|BIUI02|DIA_SEMANA|DIA_LABORABLE|TCS_GRANGRUPO_TRABAJOTOTAL|TCS_GRANGRUPO_OCUPACIONYAUTOCONSUMO|TCS_GRANGRUPO_TNR|TCS_GRANGRUPO_PERSONALES|TCS_GRUPO_TRABAJOOCUPACION|TCS_GRUPO_DOMESTICO|TCS_GRUPO_CUIDADO|TCS_GRUPO_TNROTROSHOGARES_VOLUNTARIAS|TCS_GRUPO_VOLUNTARIAS|TCS_GRUPO_EDUCACION|TCS_GRUPO_CONVIVENCIA|TCS_GRUPO_USODEMEDIOS|TCS_GRUPO_CUIDADOPERSONAL|TCS_GRUPO_CPERSONALSINDORMIR|TCS_ACT_AUTOCONSUMO|TCS_ACT_TRABAJOOCUPACION|TCS_ACT_BUSCARTRABAJO|TCS_ACT_PASANTIANR|TCS_ACT_TRASLADOTRABAJO|TCS_ACT_PREPARARCOMIDA|TCS_ACT_LIMPIAR|TCS_ACT_LAVARPLANCHAR|TCS_ACT_REPARARLAVIVIENDA|TCS_ACT_HACERPAGOS|TCS_ACT_HACERCOMPRAS|TCS_ACT_CUIDARMASCOTAS|TCS_ACT_VOLUNTARIOCOMUNIDAD|TCS_ACT_VOLUNTARIOSFL|TCS_ACT_AYUDAFAMILIARES|TCS_ACT_AYUDANOFAMILIARES|TCS_ACT_ESTUDIAR|TCS_ACT_TRASLADOESTUDIO|TCS_ACT_REUNIRSEAMIGOS|TCS_ACT_CELEBRACIONES|TCS_ACT_ASISTIRAESPECTACULOS|TCS_ACT_ARTISTICASJUEGOS|TCS_ACT_DEPORTE|TCS_ACT_LEERLIBROS|TCS_ACT_VERTELEVISION|TCS_ACT_ESCUCHARMUSICA|TCS_ACT_USARCOMPUTADORA|TCS_ACT_USARCELULAR|TCS_ACT_HIGIENEPERSONAL|TCS_ACT_CUIDARLASALUD|TCS_ACT_TRASLADOSALUD|TCS_ACT_COMERYBEBER|TCS_ACT_DORMIR|TCS_ACT_DESCANSARYOTRAS|TCS_ACT_CUIDADO_PERSONAL_DISCAPACIDAD|TCS_ACT_CUIDADO_PERSONAL_0A13|TCS_ACT_CUIDADO_PERSONAL_14A64|TCS_ACT_CUIDADO_PERSONAL_65YMAS|TCS_ACT_CUIDADO_SALUD_DISCAPACIDAD|TCS_ACT_CUIDADO_SALUD_0A13|TCS_ACT_CUIDADO_SALUD_14A64|TCS_ACT_CUIDADO_SALUD_65YMAS|TCS_ACT_CUIDADO_TRASLADOS_DISCAPACIDAD|TCS_ACT_CUIDADO_TRASLADOS_0A13|TCS_ACT_CUIDADO_TRASLADOS_14A64|TCS_ACT_CUIDADO_TRASLADOS_65YMAS|TCS_ACT_CUIDADO_OTROS_DISCAPACIDAD|TCS_ACT_CUIDADO_OTROS_0A13|TCS_ACT_CUIDADO_OTROS_14A64|TCS_ACT_CUIDADO_OTROS_65YMAS|TCS_ACT_CUIDADO_APOYO_0A13|TSS_GRANGRUPO_TRABAJOTOTAL|TSS_GRANGRUPO_OCUPACIONYAUTOCONSUMO|TSS_GRANGRUPO_TNR|TSS_GRANGRUPO_PERSONALES|TSS_GRUPO_TRABAJOOCUPACION|TSS_GRUPO_DOMESTICO|TSS_GRUPO_CUIDADO|TSS_GRUPO_TNROTROSHOGARES_VOLUNTARIAS|TSS_GRUPO_VOLUNTARIAS|TSS_GRUPO_EDUCACION|TSS_GRUPO_CONVIVENCIA|TSS_GRUPO_USODEMEDIOS|TSS_GRUPO_CUIDADOPERSONAL|TSS_GRUPO_CPERSONALSINDORMIR|TSS_ACT_AUTOCONSUMO|TSS_ACT_TRABAJOOCUPACION|TSS_ACT_BUSCARTRABAJO|TSS_ACT_PASANTIANR|TSS_ACT_TRASLADOTRABAJO|TSS_GRUPO_PREPARARCOMIDA|TSS_ACT_LIMPIAR|TSS_ACT_LAVARPLANCHAR|TSS_ACT_REPARARLAVIVIENDA|TSS_ACT_HACERPAGOS|TSS_ACT_HACERCOMPRAS|TSS_ACT_CUIDARMASCOTAS|TSS_ACT_VOLUNTARIOCOMUNIDAD|TSS_ACT_VOLUNTARIOSFL|TSS_ACT_AYUDAFAMILIARES|TSS_ACT_AYUDANOFAMILIARES|TSS_ACT_ESTUDIAR|TSS_ACT_TRASLADOESTUDIO|TSS_ACT_REUNIRSEAMIGOS|TSS_ACT_CELEBRACIONES|TSS_ACT_ASISTIRAESPECTACULOS|TSS_ACT_ARTISTICASJUEGOS|TSS_ACT_DEPORTE|TSS_ACT_LEERLIBROS|TSS_ACT_VERTELEVISION|TSS_ACT_ESCUCHARMUSICA|TSS_ACT_USARCOMPUTADORA|TSS_ACT_USARCELULAR|TSS_ACT_HIGIENEPERSONAL|TSS_ACT_CUIDARLASALUD|TSS_ACT_TRASLADOSALUD|TSS_ACT_COMERYBEBER|TSS_ACT_DORMIR|TSS_ACT_DESCANSARYOTRAS|TSS_ACT_CUIDADO_PERSONAL_DISCAPACIDAD|TSS_ACT_CUIDADO_PERSONAL_0A13|TSS_ACT_CUIDADO_PERSONAL_14A64|TSS_ACT_CUIDADO_PERSONAL_65YMAS|TSS_ACT_CUIDADO_SALUD_DISCAPACIDAD|TSS_ACT_CUIDADO_SALUD_0A13|TSS_ACT_CUIDADO_SALUD_14A64|TSS_ACT_CUIDADO_SALUD_65YMAS|TSS_ACT_CUIDADO_TRASLADOS_DISCAPACIDAD|TSS_ACT_CUIDADO_TRASLADOS_0A13|TSS_ACT_CUIDADO_TRASLADOS_14A64|TSS_ACT_CUIDADO_TRASLADOS_65YMAS|TSS_ACT_CUIDADO_OTROS_DISCAPACIDAD|TSS_ACT_CUIDADO_OTROS_0A13|TSS_ACT_CUIDADO_OTROS_14A64|TSS_ACT_CUIDADO_OTROS_65YMAS|TSS_ACT_CUIDADO_APOYO_0A13|TP_GRANGRUPO_TRABAJOTOTAL|TP_GRANGRUPO_OCUPACIONYAUTOCONSUMO|TP_GRANGRUPO_TNR|TP_GRANGRUPO_PERSONALES|TP_GRUPO_TRABAJOOCUPACION|TP_GRUPO_DOMESTICO|TP_GRUPO_CUIDADO|TP_GRUPO_TNROTROSHOGARES_VOLUNTARIAS|TP_GRUPO_VOLUNTARIAS|TP_GRUPO_EDUCACION|TP_GRUPO_CONVIVENCIA|TP_GRUPO_USODEMEDIOS|TP_GRUPO_CUIDADOPERSONAL|TP_GRUPO_CPERSONALSINDORMIR|TP_ACT_AUTOCONSUMO|TP_ACT_TRABAJOOCUPACION|TP_ACT_PASANTIANR|TP_ACT_BUSCARTRABAJO|TP_ACT_TRASLADOTRABAJO|TP_ACT_PREPARARCOMIDA|TP_ACT_LIMPIAR|TP_ACT_LAVARPLANCHAR|TP_ACT_REPARARLAVIVIENDA|TP_ACT_HACERPAGOS|TP_ACT_HACERCOMPRAS|TP_ACT_CUIDARMASCOTAS|TP_ACT_VOLUNTARIOCOMUNIDAD|TP_ACT_VOLUNTARIOSFL|TP_ACT_AYUDAFAMILIARES|TP_ACT_AYUDANOFAMILIARES|TP_ACT_ESTUDIAR|TP_ACT_TRASLADOESTUDIO|TP_ACT_REUNIRSEAMIGOS|TP_ACT_CELEBRACIONES|TP_ACT_ASISTIRAESPECTACULOS|TP_ACT_ARTISTICASJUEGOS|TP_ACT_DEPORTE|TP_ACT_LEERLIBROS|TP_ACT_VERTELEVISION|TP_ACT_ESCUCHARMUSICA|TP_ACT_USARCOMPUTADORA|TP_ACT_USARCELULAR|TP_ACT_HIGIENEPERSONAL|TP_ACT_CUIDADODELASALUD|TP_ACT_TRASLADOSALUD|TP_ACT_COMERYBEBER|TP_ACT_DORMIR|TP_ACT_DESCANSARYOTRAS|TP_ACT_CUIDADO_PERSONAL_DISCAPACIDAD|TP_ACT_CUIDADO_PERSONAL_0A13|TP_ACT_CUIDADO_PERSONAL_14A64|TP_ACT_CUIDADO_PERSONAL_65YMAS|TP_ACT_CUIDADO_SALUD_DISCAPACIDAD|TP_ACT_CUIDADO_SALUD_0A13|TP_ACT_CUIDADO_SALUD_14A64|TP_ACT_CUIDADO_SALUD_65YMAS|TP_ACT_CUIDADO_TRASLADOS_DISCAPACIDAD|TP_ACT_CUIDADO_TRASLADOS_0A13|TP_ACT_CUIDADO_TRASLADOS_14A64|TP_ACT_CUIDADO_TRASLADOS_65YMAS|TP_ACT_CUIDADO_OTROS_DISCAPACIDAD|TP_ACT_CUIDADO_OTROS_0A13|TP_ACT_CUIDADO_OTROS_14A64|TP_ACT_CUIDADO_OTROS_65YMAS|TP_ACT_CUIDADO_APOYO_0A13
112610|778|1580|1|1|4|1|1|2|1|1|1|1|1|1|1|||1|42|3|1|2|4|6|2|||||6|1||5|3|1|2|2|2|2|2|||2|2|0|2|0|0|2|0|0|0|0|||||||||||||||0|0|0|0||||||||||1|1||||||3|2||1||1|1|2|0|2||||||||||||||2||2|2|2|1|2|2|2|2|1|3|1|1|5|3|4|4|1|1|1|630|450|180|810|450|180|0|0|0|0|0|140|670|210|0|450|0|0|0|100|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|140|0|0|0|20|0|0|80|460|110|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|630|450|180|810|450|180|0|0|0|0|0|140|670|210|0|450|0|0|0|100|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|140|0|0|0|20|0|0|80|460|110|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|1|1|1|0|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
138176|1669|2175|1|1|4|2|1|8|1|1|1|1|1|1|1|||1|35|3|1|1|3|6|2|||||8|1||7|4|2|2|1|2|2|2|||2|1|0|1|0|0|1|0|0|0|0|||||||||||||||0|0|0|0||||||||||1|1||||||2|2||1||1|1|2|0|2||||||||||||||2||2|2|2|1|2|2|2|2|1|4|1|1|7|4|1|5|1|1|1|560|460|100|880|460|100|0|0|0|0|100|110|670|190|0|410|0|0|50|40|30|0|0|0|30|0|0|0|0|0|0|0|0|0|0|0|100|0|70|0|0|40|40|0|0|100|480|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|560|460|100|880|460|100|0|0|0|0|100|110|670|190|0|410|0|0|50|40|30|0|0|0|30|0|0|0|0|0|0|0|0|0|0|0|100|0|70|0|0|40|40|0|0|100|480|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|1|1|0|1|0|0|1|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
192097|1891|5078|1|1|4|2|1|8|1|1|1|1|1|1|1|||1|26|2|1|1|3|1|2|||||9|1||7|4|1|2|2|2|2|2|||2|2|0|2|0|0|2|0|0|0|0|||||||||||||||0|0|0|0||||||||||1|1||||||2|2||1||1|1|2|0|1|2|1|2|2||||||||2|1|1|2|2|2|1|1|2|2|2|1|1|4|1|1|7|5|3|1|2|2|2|240|0|240|1240|0|240|0|0|0|0|350|0|890|340|0|0|0|0|0|100|110|0|0|30|0|0|0|0|0|0|0|0|350|0|0|0|0|0|0|0|0|0|100|0|0|80|550|160|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|240|0|240|1200|0|240|0|0|0|0|330|0|870|320|0|0|0|0|0|100|110|0|0|30|0|0|0|0|0|0|0|0|330|0|0|0|0|0|0|0|0|0|100|0|0|60|550|160|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|0|0|0|0|1|0|1|1|0|0|0|0|0|1|1|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
185333|1853|2182|1|1|4|2|1|1|1|1|1|1|1|1|1|||1|43|3|1|2|4|3|2|||||6|1||5|3|1|2|2|2|2|2|||2|1|0|1|0|0|1|0|0|0|0|||||||||||||||0|0|0|0||||||||||1|1||||||2|2||1||1|1|2|0|2||||||||||||||2||2|2|2|1|2|2|2|2|1|3|1|1|5|3|1|6|1|1|1|820|400|420|760|400|0|0|420|0|0|0|170|590|230|0|370|0|0|30|0|0|0|0|0|0|0|0|0|420|0|0|0|0|0|0|0|0|0|160|0|0|10|60|0|0|100|360|70|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|750|395|355|690|395|0|0|355|0|0|0|130|560|200|0|370|0|0|25|0|0|0|0|0|0|0|0|0|355|0|0|0|0|0|0|0|0|0|125|0|0|5|60|0|0|70|360|70|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|0|0|1|0|0|0|1|1|1|0|1|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
113350|1974|10202|1|3|4|4|1|1|1|1|1|1|1|1|1|||3|17|2|3|2|4|6|1|1|5|0||6|2|4|4|2|1|2|2|2|2|2|||2|4|0|4|0|0|4|0|0|0|0|||||||||||||||0|0|0|0||||||||||2||1|3|||||||||3|2|2|0|2||||||||||||||2||2|2|2|1|2|2|2|2|1|3|1|1|5|3|2|2|2|1|2|70|0|70|1420|0|70|0|0|0|260|340|190|630|250|0|0|0|0|0|20|0|0|0|0|0|50|0|0|0|0|230|30|60|0|0|190|90|0|40|30|40|80|70|0|0|130|380|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|70|0|70|1370|0|70|0|0|0|260|335|170|605|225|0|0|0|0|0|20|0|0|0|0|0|50|0|0|0|0|230|30|55|0|0|190|90|0|20|30|40|80|70|0|0|105|380|50|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|0|0|0|1|1|1|1|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|1|1|1|0|0|1|1|0|1|1|1|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
169049|3012|3960|1|1|4|1|1|2|1|1|1|1|1|1|1|||1|25|2|1|1|3|6|1|2|3|0||9|2|1|6|4|1|2|2|2|2|2|||2|1|0|1|0|0|1|0|0|0|0|||||||||||||||0|0|0|0||||||||||1|1||||||2|2||1||1|1|2|0|2||||||||||||||2||2|2|2|1|2|2|2|2|1|4|1|1|6|3|1|2|1|1|1|530|0|530|920|0|0|0|530|0|0|0|70|850|190|0|0|0|0|0|0|0|0|0|0|0|0|0|0|530|0|0|0|0|0|0|0|0|40|0|0|0|30|60|0|0|120|660|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|530|0|530|910|0|0|0|530|0|0|0|65|845|185|0|0|0|0|0|0|0|0|0|0|0|0|0|0|530|0|0|0|0|0|0|0|0|40|0|0|0|25|60|0|0|115|660|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|1|0|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
178511|2948|7956|1|2|4|3|1|1|1|1|1|1|1|1|1|||2|26|2|9|2|4|6|1|1|8|0||9|2|4|6|4|||||||98||2|2|0|2|0|0|2|0|0|0|0|||||||||||||||0|0|0|0||||||||||2||1|3|||||||||3|2|2|0|2||||||||||||||2||2|2|2|1|2|2|2|2|1|4|1|1|7|5|99|4|2|1|2|20|0|20|1440|0|20|0|0|0|450|340|20|630|210|0|0|0|0|0|20|0|0|0|0|0|0|0|0|0|0|450|0|340|0|0|0|0|0|10|0|0|10|20|0|0|180|420|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20|0|20|1420|0|20|0|0|0|450|335|10|625|205|0|0|0|0|0|20|0|0|0|0|0|0|0|0|0|0|450|0|335|0|0|0|0|0|5|0|0|5|20|0|0|175|420|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|0|0|0|1|1|1|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|1|0|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
117561|4516|2900|1|1|4|4|1|8|1|1|1|1|1|1|1|||3|42|3|1|1|3|3|2|||||8|1||7|4|1|2|2|2|2|2|||2|3|2|1|0|2|1|0|0|0|0|||||||||||||||1|1|0|0|1|1|0|0|1|1|1|0|0|1|1||||||3|2||1||1|1|2|0|1|2|1|2|2||||||||2|1|1|2|2|2|2|1|2|2|2|2|1|4|1|1|7|4|4|2|1|1|1|2020|0|2020|1110|0|280|1740|0|0|0|0|180|930|430|0|0|0|0|0|130|50|20|0|0|80|0|0|0|0|0|0|0|0|0|0|0|0|0|180|0|0|0|0|0|0|180|500|250|870|870|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|709.962|0|709.962|729.981|0|113.325|596.612|0|0|0|0|59.994|669.987|169.987|0|0|0|0|0|63.33|16.665|6.666|0|0|26.664|0|0|0|0|0|0|0|0|0|0|0|0|0|59.994|0|0|0|0|0|0|59.994|500|109.993|298.306|298.306|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|1|0|0|0|0|1|1|1|0|0|0|0|0|1|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
126084|2454|16928|1|3|4|3|1|2|1|1|1|1|1|1|1|||2|25|2|3|1|3|6|1|2|12|0||9|2|3|6|4|1|2|2|2|2|2|||2|5|0|5|0|0|5|0|0|0|0|||||||||||||||0|0|0|0||||||||||2||1|3|||||||||3|2|2|0|2||||||||||||||2||2|2|2|1|2|2|2|2|1|4|1|1|6|4|2|6|2|1|2|0|0|0|1510|0|0|0|0|0|800|70|20|620|160|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|620|180|70|0|0|0|0|0|0|0|0|20|40|0|0|80|460|40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1440|0|0|0|0|0|765|35|20|620|160|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|620|145|35|0|0|0|0|0|0|0|0|20|40|0|0|80|460|40|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|0|0|0|0|0|0|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
133384|552|500|1|1|4|1|1|8|1|4|1|1|1|1|1|||1|80|4|1|2|4|6|2|||||6|1||5|3|1|2|2|2|2|2|||2|1|0|0|1|0|1|0|0|0|0|||||||||||||||0|0|0|0||||||||||2||1|3|||||||||3|2|1|1|2||||||||||||||2||2|2|2|1|2|2|2|2|1|3|2|3|5|3|1|4|2|1|2|300|0|300|1140|0|180|0|120|120|0|0|130|1010|150|0|0|0|0|0|120|0|0|0|0|60|0|0|120|0|0|0|0|0|0|0|0|0|0|0|0|130|0|30|0|0|90|860|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|300|0|300|1140|0|180|0|120|120|0|0|130|1010|150|0|0|0|0|0|120|0|0|0|0|60|0|0|120|0|0|0|0|0|0|0|0|0|0|0|0|130|0|30|0|0|90|860|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|1|0|1|1|0|0|1|1|1|0|0|0|0|0|1|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
